m_disk,sb_law,r_in,d_r,inc,pa,mar_starflux,aug_starflux,jun_starflux,lnprob
-7.607989730125779282e+00,3.333084771594895912e+00,3.055496068443716950e+01,2.249487971180550616e+01,9.006778450367629318e+01,1.283871807211445741e+02,3.975141200458838400e-04,1.683544447516700706e-04,2.409830645064986736e-04,-inf
-7.537586250981735958e+00,1.091246808830316439e+00,-1.282457808724961623e+00,3.409073902250985100e+01,9.027233123018262972e+01,1.282083703248863458e+02,3.089115340700382319e-04,1.610168198900955043e-04,2.347293125354264483e-04,-inf
-7.542724379488250364e+00,4.646126406661419850e+00,6.142273398806048945e+00,4.106518635468900413e+01,8.910880132991431424e+01,1.285042095702296479e+02,3.469068809305743254e-04,1.460895901385611366e-04,2.283169043507808670e-04,-3.138783691406250000e+05
-7.491818430265437811e+00,3.278784773255238871e-01,8.506295589018819214e+00,3.761079329276125804e+01,8.968307364375245072e+01,1.284584522621365466e+02,4.066757676658310817e-04,1.337999011054287024e-04,2.212839830259986441e-04,-3.137883515625000000e+05
-7.558056069632606011e+00,1.599960908691155481e+00,9.365294928738730817e+00,3.182493910928538483e+01,8.937951562834491881e+01,1.285463002470706897e+02,3.521212293521437751e-04,1.532602125040519322e-04,2.085048145122633085e-04,-3.132150820312500000e+05
-7.607033418053918084e+00,2.754565293691091377e+00,1.112900815572445268e+01,3.161907770757949265e+01,8.676888137383095057e+01,1.285495175596155661e+02,4.492157252379860811e-04,1.544172508302064407e-04,2.542300829664332945e-04,-3.134761484375000000e+05
-7.511589731111259383e+00,3.506849772004905663e+00,-1.712549561393745989e+01,3.354466067429514453e+01,8.894905363879462357e+01,1.283601566166739758e+02,4.624919374802247303e-04,1.339477019922675756e-04,2.405434234495673390e-04,-inf
-7.532542818861717393e+00,2.051274387647649355e+00,1.969073846910612602e+01,4.943022660765380749e+01,8.909304577582378215e+01,1.285049674442147705e+02,4.148597912552044308e-04,1.474108643191700816e-04,2.245072497850379332e-04,-3.152010410156250000e+05
-7.556711906548225777e+00,4.833106510595670535e+00,3.156701329028020098e+01,2.618072564095331245e+01,9.008473880647134990e+01,1.286534318567779565e+02,3.819042258469119945e-04,1.508989677488394834e-04,2.307999191861390251e-04,-inf
-7.471823056001188235e+00,3.661080226815169869e+00,4.117819860511019670e+00,3.379590539975360741e+01,8.843051787098963246e+01,1.285959072974253559e+02,4.105103944016374323e-04,1.496225233091770502e-04,2.267112250110569517e-04,-3.135797695312500000e+05
-7.573009602796126671e+00,3.536653335645403740e+00,4.079674813029956937e+00,3.777825293317583544e+01,8.907617671779205182e+01,1.284034107688189295e+02,4.164322992365925361e-04,1.432527465419091458e-04,2.290328043022601002e-04,-3.131712714843750000e+05
-7.521195937403374998e+00,1.219024253176303363e+00,7.714774522500537302e+00,3.657587980783500825e+01,8.906195660673219550e+01,1.284680184794123932e+02,3.752908410662677044e-04,1.558696157812022008e-04,2.328878813982967501e-04,-3.132625371093750000e+05
-7.577731745274923547e+00,4.703656386854382365e-01,3.540173135808835525e+01,1.060058615420713934e+01,8.774865934928406830e+01,1.281384729357345407e+02,3.161501740437852571e-04,1.707255196602423168e-04,2.401981134189661200e-04,-3.142815351562500000e+05
-7.565993673719833446e+00,3.643745691885617699e+00,8.993583948479999535e+00,3.162622165505315408e+01,8.972174886702859453e+01,1.284507507447828232e+02,4.579471663062645477e-04,1.495970046469314782e-04,2.208031531985480246e-04,-3.131305781250000000e+05
-7.540870796241402552e+00,2.642315332199546951e+00,2.027739291270229671e+01,2.595604315455422295e+01,8.879343123211245370e+01,1.284616370491552004e+02,3.478515871655533075e-04,1.399512314061938240e-04,2.213416944268547582e-04,-3.134183515625000000e+05
-7.606809558345510425e+00,2.929980909849129844e+00,2.770661050539563242e+00,2.285934127255474380e+01,8.865578554176185833e+01,1.284237800338729301e+02,3.581833526269078533e-04,1.361153754169262722e-04,2.242742621091106756e-04,-3.179531269531250000e+05
-7.560060841459780967e+00,2.771813256471604703e+00,1.511781339684066694e+00,2.846625133910279715e+01,8.734621390968699473e+01,1.283008971257478379e+02,4.812371899300348348e-04,1.644832144578186543e-04,2.246562851592927431e-04,-3.157549082031250000e+05
-7.529338239112927766e+00,1.241489592120845753e+00,1.973086796207719118e+01,2.806302666622105235e+01,9.019171274717227504e+01,1.285181895378168804e+02,4.465054665836602527e-04,1.505510950962003801e-04,2.282276384212312268e-04,-inf
-7.516818061401559170e+00,2.269694388800283402e+00,6.889242867458468922e+00,2.834869572596539200e+01,8.874850940892675055e+01,1.285778526051991548e+02,3.961380028039523092e-04,1.571141004307386770e-04,2.125829853200309210e-04,-3.142939648437500000e+05
-7.533549060692675603e+00,9.112586846216430558e-01,6.540524625815463011e+00,4.624018820970427157e+01,8.882836397890923763e+01,1.283854216612318453e+02,3.866349953354341479e-04,1.599155427450115342e-04,2.343592643451196161e-04,-3.135136289062500000e+05
-7.556810557037461074e+00,8.325923855489447689e-01,2.541112585677145574e+01,3.406543509003732595e+01,8.753958857735021581e+01,1.283968173769462453e+02,4.031867367280744189e-04,1.350962465646534012e-04,2.269763624605979568e-04,-3.144869804687500000e+05
-7.591556072866975313e+00,2.621602803653228175e+00,4.306226110060855206e+00,2.187284334319972601e+01,8.959635941626054034e+01,1.283565797072195096e+02,3.537971628403202085e-04,1.535813056457017197e-04,2.289297313800597357e-04,-3.181268378906250000e+05
